CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
100001111,03/06/2011,19:39:00,,,14,03/06/2011,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,NA,,NA,987220,212676,,,,,40.750430768,-73.989282176,"(40.750430768, -73.989282176)",PATROL BORO MAN SOUTH,,,UNKNOWN,D
100001206,02/15/2012,12:00:00,02/17/2012,01:20:00,113,02/17/2012,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,QUEENS,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1045862,187367,,,,,40.680749693,-73.777864583,"(40.680749693, -73.777864583)",PATROL BORO QUEENS SOUTH,,45-64,BLACK,M
100001361,02/21/2020,12:00:00,02/21/2020,12:01:00,110,08/11/2020,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1015674,208841,,,,,40.73984932600007,-73.88660446499993,"(40.73984932600007, -73.88660446499993)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,F
100001406,07/22/2010,09:00:00,07/22/2010,15:10:00,103,07/22/2010,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1048063,198588,,,,,40.711533037,-73.769822795,"(40.711533037, -73.769822795)",PATROL BORO QUEENS SOUTH,,25-44,WHITE HISPANIC,F
100001475,09/22/2010,16:00:00,09/22/2010,16:30:00,114,09/22/2010,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,NA,,NA,1008076,213835,,,,,40.753580331,-73.914004978,"(40.753580331, -73.914004978)",PATROL BORO QUEENS NORTH,,,UNKNOWN,D
100001492,05/20/2019,19:30:00,05/20/2019,19:50:00,13,05/20/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,990908,209028,<18,BLACK,F,,40.74041591300004,-73.97597511999999,"(40.74041591300004, -73.97597511999999)",PATROL BORO MAN SOUTH,,<18,BLACK,F
100001762,07/01/2007,02:00:00,,,47,07/05/2007,359,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,STREET,N.Y. POLICE DEPT,0,NA,,NA,1031530,263213,45-64,BLACK,M,,40.889014427,-73.829003449,"(40.889014427, -73.829003449)",PATROL BORO BRONX,,45-64,BLACK,M
100002004,11/15/2007,18:20:00,11/15/2007,18:25:00,30,11/15/2007,348,VEHICLE AND TRAFFIC LAWS,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,996329,238263,,,,,40.820652506,-73.956360128,"(40.820652506, -73.956360128)",PATROL BORO MAN NORTH,,,UNKNOWN,E
100002181,03/03/2018,12:00:00,,,69,07/13/2018,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,OTHER,N.Y. POLICE DEPT,0,,,,1010641,175525,UNKNOWN,UNKNOWN,F,,40.64842111900003,-73.90489710899999,"(40.648421119, -73.904897109)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,F
100002195,11/10/2019,12:00:00,11/10/2019,14:00:00,109,11/10/2019,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,GYM/FITNESS FACILITY,N.Y. POLICE DEPT,0,,,,1029422,226315,,,,,40.787751343000025,-73.83687595999999,"(40.787751343000025, -73.83687595999999)",PATROL BORO QUEENS NORTH,,18-24,ASIAN / PACIFIC ISLANDER,M
100002449,10/08/2013,00:01:00,10/08/2013,01:30:00,104,10/08/2013,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1011717,203481,,,,,40.725150623,-73.900905606,"(40.725150623, -73.900905606)",PATROL BORO QUEENS NORTH,,18-24,UNKNOWN,F
100002954,02/05/2011,23:54:00,,,40,02/06/2011,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,,4749,1005710,233682,,,,,40.808061135,-73.922481314,"(40.808061135, -73.922481314)",PATROL BORO BRONX,,,UNKNOWN,E
100002988,06/11/2009,23:25:00,06/11/2009,23:30:00,104,06/11/2009,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,NA,,NA,1013226,195566,,WHITE,M,,40.703421036,-73.895495484,"(40.703421036, -73.895495484)",PATROL BORO QUEENS NORTH,,25-44,WHITE,M
100003098,10/02/2014,13:40:00,,,25,10/02/2014,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,LINCOLN,645,1001769,234797,25-44,BLACK HISPANIC,M,,40.811130194,-73.936714506,"(40.811130194, -73.936714506)",PATROL BORO MAN NORTH,,25-44,WHITE HISPANIC,F
100003121,04/10/2010,10:20:00,04/10/2010,10:29:00,79,04/10/2010,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,998241,187165,25-44,BLACK,M,,40.680398609,-73.949558393,"(40.680398609, -73.949558393)",PATROL BORO BKLYN NORTH,,18-24,UNKNOWN,F
100003185,05/20/2016,00:05:00,,,73,05/20/2016,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,1009298,177673,18-24,BLACK,M,,40.65432081,-73.909728851,"(40.65432081, -73.909728851)",PATROL BORO BKLYN NORTH,,UNKNOWN,UNKNOWN,E
